id;nombre;apellido;cargo;salario;urlmg;estado;establecimiento_id
1;overriding Account bandwidth;Artesanal;overriding;14379;Papelería;OCUPADO;56071
2;Hungria Director Rupiah;objetos Fantástico;Palladium bleeding-edge;97355;neural Sorprendente;OCUPADO;81177
3;cutting-edge Aragón blockchains;Gris COM;XSS;14372;hacking Descentralizado;OCUPADO;86035
4;array Videojuegos;Refinado;la enhance;26225;Nacional;OCUPADO;36812
5;Implementado Bicicleta Gris;Guapo Avon Morado;mano;90159;Amarillo Account Verde;SUSPENDIDO;98928
6;Producto copying;Rioja deliver Barbados;holística Avon;89360;Gerente Parque strategize;OCUPADO;25126
7;Madera Compatible;Loan Práctico quantify;Granito Palladium;63484;Jefe uniforme;OCUPADO;81024
8;Bedfordshire;Savings Grupo Portugal;alarm encriptar Rojo;52098;Negro;SUSPENDIDO;14471
9;Granito extensible Humano;multitarea;Guatemala Morado;96010;en;OCUPADO;98826
10;Violeta viral;withdrawal Berkshire;Muelle digital;54186;inteligencia Analista Marketing;SUSPENDIDO;55366
